"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"CTV-1",-1.53592,-2.75104,6.26404,-1.9977,-2.0659,0.57594,-0.07798,-0.08721,-2.06428,-0.28467,-0.67382
"CW-2",-1.87822,-1.2172,0.10742,-0.95472,-1.17808,0.58241,2.41767,-2.09325,0.34998,-2.43584,-0.01977
"D-247MG",2.30589,1.3093,-2.27824,-0.06621,0.06104,-1.76361,-2.03005,2.31154,-0.07243,1.46092,-2.21179
"D-263MG",4.48043,0.04271,-1.3043,-0.56828,0.71301,-1.09395,-1.26027,3.72975,-0.31201,0.70059,-0.03044
"D-283MED",0.04334,-0.95612,0.07451,-2.64034,-1.65307,-3.07251,-1.98686,1.84155,-1.20843,1.23746,-0.59707
"D-336MG",1.05429,1.02566,-0.70328,0.12787,-0.87465,-1.05523,-0.14722,3.23846,-0.5542,-0.4668,-1.22232
"D-392MG",2.63995,1.64213,-3.69358,-0.0558,0.86269,-1.20388,-2.49177,7.4891,-0.3096,2.22072,0.35879
"D-423MG",1.82687,2.41239,-0.9175,1.12269,0.45109,1.60294,-0.26154,-1.95866,2.72046,0.19115,-0.58037
"D-502MG",1.92518,0.43431,-0.72499,-0.08127,0.66703,-1.11799,-2.58603,2.08511,-0.76675,1.38692,-1.15553
"D-542MG",1.91894,0.0291,-1.29906,0.62389,-0.24112,-1.46752,-1.69738,1.76514,-0.13442,0.68109,-1.362
"D-566MG",2.64436,0.39688,-0.81445,0.83572,0.97107,0.01935,-1.28442,1.99219,1.11818,2.61659,-0.50679
"DAN-G",0.038,1.10434,-0.34906,0.1124,0.07221,0.80008,0.92955,-1.13572,0.13122,3.22624,-2.03636
"Daoy",0.57016,0.73441,-1.75937,-1.31444,-0.03176,0.13921,-0.11518,4.27003,2.25778,0.99891,-1.40219
"Daudi",-4.18094,1.2653,3.02144,-0.65234,-1.43077,3.04249,-1.38963,-1.82537,-0.34142,-1.96655,-0.55153
