"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"SK-CO-1",0.65522,-0.10427,-0.30604,2.13734,0.81326,0.77109,2.3568,-2.56993,0.5568,-0.15576,2.10552
"SK-ES-1",-2.15212,-0.99458,0.21817,-1.84434,-1.59466,-2.03487,-0.66782,2.05581,-3.02141,-1.50565,1.88705
"SK-GT-2",-0.45022,-1.76278,-0.55429,-0.15911,1.63848,1.68347,0.96666,0.70947,1.69208,-0.5566,-0.09357
"SK-GT-4",1.33481,0.83649,0.25425,1.19154,1.1727,0.57378,1.68431,-0.52388,0.54708,-0.66813,-0.57023
"SK-HEP-1",1.10472,1.20717,-0.98087,-0.67711,1.38616,1.14761,-1.06759,-0.93018,3.09234,2.73505,-0.99239
"SK-LMS-1",2.28443,2.68548,-1.36196,-0.57511,3.07971,0.85374,-3.38746,3.18441,1.27214,0.27733,-1.78927
"SK-LU-1",0.14097,2.72336,-0.94429,3.14278,1.66692,0.40259,-0.99632,2.20081,1.7974,0.22882,-0.79191
"SK-MEL-1",1.47761,2.04167,2.27119,0.40749,-0.49201,0.03831,-0.34261,-0.64169,-0.98451,1.40171,-0.30575
"SK-MEL-2",0.48077,1.08614,2.15379,0.34258,-0.19592,0.56421,-0.51638,-2.96275,-0.67639,2.35312,-1.90947
"SK-MEL-24",0.82286,0.40039,-1.0867,4.00429,0.86959,-0.34729,-0.42855,-4.6201,0.36921,3.68423,-1.15513
"SK-MEL-28",0.76333,0.91974,-1.83091,0.89509,-0.28882,0.70459,0.34418,0.58613,-0.94497,2.20797,-1.16578
"SK-MEL-3",-0.41538,0.49952,-0.32433,-1.11788,-1.09389,0.44872,1.97655,-0.26961,-0.4264,1.09979,-1.4748
"SK-MEL-30",0.25938,1.06676,0.4969,1.27027,-0.04386,1.02557,0.94336,-1.31362,-0.07553,0.81324,0.41884
"SK-MEL-31",1.20875,0.85312,-0.11653,3.31082,-0.26122,0.75058,-1.46282,-1.15013,0.17827,5.82823,-1.0927
"SK-MEL-5",0.25319,1.02296,0.44687,1.99728,-0.42707,0.12829,0.42958,-3.41154,0.28421,1.73351,0.6441
"SK-MES-1",1.61317,2.6604,-4.00139,-1.01186,3.14598,0.49017,0.24277,-2.23804,2.64424,0.50017,-0.73383
"SK-MG-1",0.72622,2.75702,-0.74174,3.73846,0.88793,-0.55619,-0.09425,1.43686,1.47445,1.02013,0.18563
"SK-MM-2",-2.02849,-0.02766,1.72328,-1.3291,-2.94955,1.70336,-0.24842,-1.60056,-1.16221,-3.0317,1.55022
"SK-N-AS",0.23756,-1.91342,0.01803,-1.63085,-0.22946,-5.62538,0.31424,0.26263,-0.05202,2.7069,-0.09732
"SK-N-DZ",-0.71783,-0.35076,1.34851,-0.22409,-2.25406,-4.33083,-0.83693,1.16193,-3.68475,-1.15647,-0.38475
"SK-N-FI",0.67722,-1.65896,0.49686,-1.09293,-1.63926,-2.79751,0.41782,1.33146,-2.6059,0.76167,-2.10756
"SK-N-SH",0.38656,0.78306,1.06646,-0.77503,-1.45498,-3.70464,-0.27505,1.23452,-0.69155,1.53347,-1.29063
"SK-OV-3",1.22619,1.27915,-0.4961,-1.66217,2.17491,-1.06687,-0.59724,-1.81749,0.52731,-0.14303,-1.75547
"SK-PN-DW",-0.32928,-1.0723,0.24906,-3.27057,-1.89505,-0.95006,-0.61198,1.09897,-1.48927,-0.99143,4.96245
"SK-UT-1",0.74503,1.53632,-1.72517,-0.25166,0.00431,1.37721,-1.69819,-0.72167,2.25123,-0.0543,-0.87431
"SKG-IIIa",0.32368,0.53535,-0.60449,-0.14429,1.2199,0.51206,0.9676,-0.94099,2.80944,-2.11061,1.09323
"SKM-1",-2.02826,-1.25148,3.62473,-1.24743,-1.44208,1.25902,-0.79418,0.15026,-1.04861,-0.3418,-1.5136
"SKN",2.59487,1.59223,-3.16674,-0.09117,1.2503,-1.02776,-1.08259,1.61026,1.08752,0.99983,0.64196
"SKN-3",-0.57206,-0.23678,-0.20518,1.49856,1.26679,2.50145,1.50603,0.54473,1.98566,-2.10421,-1.73303
"SLVL",-1.04634,-0.03384,3.41687,-1.95308,-1.82902,5.74989,-0.11052,-1.28516,1.93519,0.82652,-0.37717
"SN12C",1.48632,1.65452,0.27779,0.19474,1.97869,-1.09617,-0.09719,0.31347,-0.08355,0.6424,-0.8025
"SNB75",3.20717,0.93538,-1.27291,1.83478,0.29426,-1.04706,-2.72718,5.41566,-0.0919,0.61651,-1.67509
"SNG-M",-0.03236,1.05008,-0.46238,2.09837,1.59985,0.59226,1.93131,0.10423,1.27901,0.70625,0.46908
"SNU-1040",-0.41712,-0.50459,0.39455,0.18897,-0.57097,-0.10097,1.42046,0.66386,-0.6512,-2.59605,0.07548
"SNU-175",-1.35459,-3.34613,-0.78738,0.6295,-0.46378,-1.20264,3.65317,0.75529,-2.06596,-0.14915,-0.46886
"SNU-182",1.5986,3.41451,-0.30082,1.42716,1.94457,-1.00668,-0.84255,2.85456,-0.6886,4.33175,0.82588
"SNU-283",-2.71246,-4.04797,0.88514,0.66666,0.08872,-0.54965,1.37496,-0.01905,-1.85047,-2.91596,-2.07405
"SNU-387",2.23995,2.36341,0.07331,2.70793,1.02411,-0.45748,-2.62896,1.76789,1.24671,1.28761,-0.22296
"SNU-398",1.32876,-0.1279,-1.10631,-1.89001,-2.65488,-1.57075,0.5797,-0.19906,-2.16938,-0.31593,1.32094
"SNU-407",-0.32715,-2.27946,-1.26391,1.10897,-0.28505,-0.64304,2.51127,0.98646,0.37276,-2.32018,0.77655
"SNU-423",1.60494,3.55371,-1.94051,0.29628,1.24318,0.22776,-0.97925,2.33983,1.03271,0.02938,-0.72007
"SNU-449",0.7582,-0.23223,-1.53128,-0.05504,0.79661,-3.15376,-0.47317,-0.31716,0.31355,1.42586,-1.45587
"SNU-475",1.92444,0.87695,-0.629,2.27076,0.86615,-0.91238,-0.48049,-1.37055,0.6034,1.14387,-1.55022
"SNU-61",-1.41644,-1.33649,0.43933,0.68885,1.00139,0.22725,1.84859,-1.49049,0.32096,-3.99246,-0.33149
"SNU-81",-0.79295,-2.51097,0.48552,0.79652,-0.511,0.35519,2.30571,0.43853,0.04869,-5.19461,-0.28774
"SNU-C1",-2.17216,-1.69939,-0.79117,0.46609,-1.2019,-1.62575,3.73763,-3.97088,0.8875,-3.30885,-2.9937
"SNU-C2B",-0.19482,0.00147,-3.62644,3.73776,1.03071,0.953,1.17032,-0.11443,0.9653,-1.46093,-1.25219
"SNU-C5",-0.07215,0.46452,-1.94038,1.4934,5.58367,0.48613,0.617,0.12742,1.74162,-0.28577,1.18581
"SR",-2.11686,-1.45447,2.04185,-1.54937,0.21396,2.54891,-1.07268,-0.8752,0.46514,-0.82231,0.08778
"ST486",-1.12247,-0.10822,1.72087,-1.35366,-2.21638,0.55523,-1.09186,-0.26444,-0.02408,-0.26976,3.09156
"STS-0421",1.2199,0.22735,0.14373,0.48084,1.92514,-0.46684,-0.95607,0.76517,-0.55377,-0.68685,2.16756
"SU-DHL-1",-1.02168,-0.52098,1.76424,-0.74912,-0.67329,0.82729,-1.20882,-1.20332,-0.04045,-0.51134,1.16366
"SU-DHL-10",-3.41682,-2.42918,1.90052,-2.4766,-1.95221,1.52105,-0.49203,-0.09898,-1.57029,0.77478,0.21414
"SU-DHL-16",-1.38278,-0.46877,1.57394,-1.72718,-2.39688,2.787,-1.49608,-1.27538,0.60211,-0.5794,0.20171
"SU-DHL-4",-2.6716,-1.05294,1.56294,-1.74902,-1.72951,-0.21549,-0.33218,0.53251,-1.54277,-0.59466,0.56785
"SU-DHL-5",-2.59213,-0.75758,1.54802,-3.46966,-0.68366,2.12279,0.85262,0.28518,-0.11593,-1.10928,3.92545
"SU-DHL-6",-1.38045,-0.01286,2.13797,-6.61005,-3.29354,-0.2444,-0.99076,0.45255,-0.74465,-0.37574,-0.89133
"SU-DHL-8",-1.40186,-0.97224,2.09747,-0.64353,-4.42995,1.95174,-1.23467,-1.12198,-0.28328,1.03741,2.23158
"SU8686",1.47972,1.04928,0.70782,-1.02405,1.77786,1.51946,1.39234,-1.87968,1.00734,-0.70927,-2.02687
"SUIT-2",1.23069,1.53035,-0.87508,-1.2629,1.5539,0.33592,-0.69099,-0.84864,-0.05313,-0.76334,-2.8393
"SUP-B15",-1.83466,-0.34835,1.67073,-1.2718,-1.02221,0.73186,-3.22098,-0.55646,-0.36742,-0.70703,0.25657
"SUP-B8",-2.76275,-1.65517,2.63907,-1.67587,-1.8,0.26764,0.14656,0.46125,-0.67,-1.00009,2.24084
"SUP-HD1",-0.58789,-3.70828,1.62292,-1.07769,-0.50799,3.38349,-0.78841,-2.57162,1.27417,-0.49897,1.52201
"SUP-M2",1.07548,0.92544,1.52395,-0.60372,-0.35778,2.05983,-2.6658,-3.32576,0.95481,-2.09648,-3.03709
"SUP-T1",-2.38668,-2.10859,2.98939,-3.33812,-2.85215,-1.17413,-0.87488,-0.21993,-2.42287,-0.40292,0.23692
"SW1088",3.92931,2.09847,-0.69775,2.69458,1.74987,0.02888,-1.27468,1.7964,1.18187,1.23703,2.16294
"SW1116",-0.6606,2.12296,-0.97431,-0.2525,1.77404,1.32751,1.57445,-1.11274,1.31996,-2.53927,-3.59589
"SW1271",1.351,2.10301,-2.7779,-0.52908,1.71348,-0.02006,-0.65271,-1.71048,1.34408,0.38996,-0.42035
"SW13",1.60859,-1.64631,-1.15623,-4.18488,-0.92453,-0.9028,1.4364,1.47239,-2.33342,0.34065,1.55804
"SW1417",-0.30916,1.69739,-0.08212,3.0898,1.75761,0.03664,1.26336,-1.01559,0.19316,-3.67187,-4.12712
"SW1463",-2.81703,-1.97356,0.46384,-0.69112,0.18389,-2.15836,1.3009,0.39445,-1.21648,-4.16308,-0.05819
"SW156",0.2449,-0.55149,-1.79237,2.07534,0.7036,-0.8339,1.00614,-2.15191,0.1986,0.55715,0.72061
"SW1573",-0.2356,1.37658,-3.32006,-1.21955,0.76529,-0.25977,-0.97263,0.55193,-0.37257,0.25949,-2.9924
"SW1710",2.02891,2.72154,-1.10411,2.98041,1.8763,-0.52321,0.25167,2.30038,0.87809,0.27496,-0.92371
"SW1783",5.45671,2.28072,-1.93104,1.54748,0.61549,0.72842,-1.13013,3.58927,3.59628,2.95626,-2.03612
"SW1990",0.44789,0.87859,0.75474,1.04439,2.36871,0.72536,0.82571,-2.35805,0.66464,0.02881,-1.31924
"SW48",-1.49769,0.62464,0.01028,-1.69015,-0.31317,0.01386,0.61313,-0.01398,-0.03066,-3.11041,-2.22221
"SW620",-0.41718,-0.98736,1.11553,-0.92737,0.70888,-1.83402,2.23795,0.89265,-1.45187,-0.22514,2.288
"SW626",0.39298,0.51217,0.92451,1.15859,0.66341,0.48169,0.40315,0.51658,0.26104,-1.31285,0.57457
"SW684",0.82695,0.3865,0.32612,5.22976,0.9248,-1.02918,-0.61667,-1.42155,1.36298,1.57354,-1.70772
"SW756",0.86481,1.27043,-1.28422,1.8618,1.44658,0.06489,-0.79771,-1.12671,-0.11311,0.94185,0.76955
"SW780",-0.37266,0.954,0.53063,-0.16059,0.69293,-1.21891,0.67422,-1.76868,0.39768,-0.44762,-1.70938
"SW837",-0.38789,-2.18903,0.18752,1.14386,0.42981,2.16046,0.50654,0.48178,0.41075,-2.29544,-1.89024
"SW872",1.24648,0.80177,-0.47645,-0.58434,0.5105,-0.29748,-2.60324,-0.66842,-0.18093,2.29813,-1.15941
"SW900",1.00177,0.4801,-0.54805,1.30583,1.87659,1.76161,2.42701,-3.38985,1.80307,-1.08972,0.5446
"SW948",-2.24935,-2.61757,-0.13731,-0.38641,-0.96087,-1.01634,1.25298,-0.04238,-1.16315,-4.01399,1.55104
"SW954",-0.06775,-0.46262,-0.4456,-1.06817,3.7993,2.2855,0.68153,-0.21994,1.67238,-0.90744,0.40706
"SW962",3.76076,2.25743,-2.91828,0.85953,1.79949,0.34911,-2.30139,3.19471,2.14022,-0.41574,0.13447
"SW982",2.96603,3.62021,-1.80183,2.13227,2.6264,1.10254,-3.41787,2.17264,1.79803,3.11949,-1.11514
"T-24",1.08261,1.12273,-0.55523,0.76978,4.68083,1.44381,-2.54522,-2.0353,0.96474,1.12384,0.51995
"T-T",-1.24976,0.61327,0.40019,-2.22382,-1.32031,-1.07791,1.88732,-0.28638,-0.72429,-1.26306,0.57249
"T47D",-1.39001,0.59746,0.7293,-0.46594,-0.53952,-1.5635,0.92693,-1.70306,-2.38067,-2.62077,-0.96601
"T84",-2.8691,-3.48664,-0.122,1.15434,1.31435,0.86074,2.10233,-0.24391,0.28199,-4.26755,-0.71565
"T98G",2.5584,4.28811,0.39066,0.77029,0.57246,-1.34726,-1.4632,2.32118,-0.03039,3.14672,1.3655
"TC-71",-0.8731,-0.57569,0.0816,-1.87034,-1.34257,-1.69884,-0.88159,-2.1099,-0.39194,0.16527,1.53506
"TC-YIK",-0.55492,-2.1869,1.11173,-0.61597,-2.48975,-2.71691,0.96132,0.82973,-3.60583,-2.03239,-2.63193
"TCCSUP",1.58164,0.18559,-2.52005,1.32374,0.98918,0.347,-1.08747,-0.53376,1.24795,2.02433,-0.33856
"TE-1",0.57986,0.50842,-1.34438,-1.97342,0.68028,0.78723,2.2361,0.84426,0.5317,-0.76764,-0.37877
"TE-10",0.46051,-0.36348,-0.45653,-0.27662,2.9835,-0.3228,2.96836,0.89819,0.69724,-1.40887,-0.42528
"TE-11",-1.51208,0.12498,-0.39585,1.50469,0.91228,0.31274,0.99726,0.12321,0.45389,-1.05273,-2.65834
"TE-12",-0.00767,-0.59008,0.88896,0.08649,0.26089,-0.99156,2.35567,1.1355,-0.88441,-1.04815,-0.62304
"TE-15",-0.28007,1.80938,0.82052,-2.00204,1.81133,-0.60521,0.47579,-0.54487,0.29912,-3.96174,-4.49518
"TE-4",-0.19279,-0.37422,-0.32185,2.11096,-0.72891,0.14533,1.19503,-0.53285,0.65154,-1.9461,0.91787
"TE-441-T",0.95351,1.83954,1.38552,-0.56385,-0.70837,-2.76508,-2.55262,1.02419,-2.24866,2.31055,3.5645
"TE-5",0.16649,-0.10025,0.80923,2.84596,-0.16444,0.14763,0.63203,-2.75831,-0.27068,-0.17308,-0.88214
"TE-6",-0.43109,-1.85291,-0.72072,3.79651,0.65782,-0.00564,0.44482,-0.02253,-0.41206,-0.12369,3.62272
"TE-8",1.0065,1.37017,0.26394,-1.33913,0.71168,-0.55031,-1.69769,1.69521,-0.95944,0.79694,0.92732
"TE-9",0.04723,0.80379,0.70741,0.16565,1.28028,1.10074,1.85961,0.75986,0.42004,-0.43741,0.64551
"TGBC11TKB",-0.78227,-2.41965,-1.15478,3.20828,0.37079,1.38675,1.07301,0.40521,0.33554,-1.59991,-0.26865
"TGBC1TKB",0.32878,-1.71658,0.12089,2.02843,2.11087,0.29639,3.20925,0.28461,1.14634,-1.06207,-1.11413
"TGBC24TKB",-0.10277,-0.02064,0.56745,3.209,0.02709,0.05117,1.80212,-2.54904,-0.42244,-1.90478,3.88549
"TGW",0.13107,-1.41594,0.69183,-1.14808,-2.28466,-2.19847,-0.04466,1.65086,-3.47841,2.15959,1.87777
"THP-1",-0.96112,0.07598,4.27571,-1.62209,-0.90275,1.89929,-1.99283,-0.11644,-0.51518,-1.37767,-1.57587
"TK",-2.05129,0.02151,2.23199,-0.20631,-1.33133,-0.00628,0.48024,0.17024,-1.04632,-0.58741,1.1855
"TK10",0.92101,-0.0681,-2.78672,3.35737,1.53465,0.09208,2.16236,-5.4024,0.76652,1.02495,0.66165
"TOV-112D",-0.33125,-0.74174,-0.0321,-0.53114,-1.07296,-0.77294,-0.50576,1.88864,-2.54395,0.10024,1.15931
"TOV-21G",0.48145,0.21119,0.89738,1.46143,0.69639,-0.37616,-0.80698,0.26831,1.51713,1.5147,0.63552
"TT",-0.41232,-0.61407,2.27399,-0.8112,-1.51764,-2.80463,0.0637,1.20337,-1.02649,-2.24775,-0.62097
"TT2609-C02",0.53334,-0.10479,-1.4602,-0.65004,0.60556,-0.11441,-1.24555,-0.47769,0.90274,0.95458,-2.34107
"TUR",-2.00848,-1.22171,2.36644,-1.73066,-2.00052,1.80468,-2.64016,0.46174,-1.51781,-1.4745,-0.13663
"TYK-nu",-0.5594,0.65591,-1.94516,0.67759,0.74654,1.20439,1.18186,-1.07515,1.0792,6.82435,-0.49117
"U-118-MG",4.53804,1.49302,-1.85357,-2.58651,0.14504,-0.57498,-6.24394,4.13683,0.38808,0.23784,-1.01842
"U-2-OS",1.12635,1.31238,0.03542,-1.07516,-0.32761,-1.71647,-2.15925,1.62868,-0.34382,-0.31146,-0.20377
"U-266",-0.55184,0.28454,2.13754,-0.25662,-1.73551,2.47699,-0.34346,-0.79515,-0.28087,-2.39127,2.37193
"U-698-M",-3.35201,-1.05521,3.07432,-2.39349,-2.65769,0.30922,0.37216,-0.0055,-0.21298,0.06146,1.26328
"U-87-MG",2.52228,1.9174,-4.00331,0.19489,-0.92055,0.39656,-4.53502,1.94478,1.23659,-0.13788,-2.58117
"U031",1.35261,2.48386,-0.79171,0.09049,1.3965,0.2129,-1.86329,-3.34834,2.5051,0.66703,-1.47312
"U251",0.97994,-0.44043,-2.31046,1.34083,0.40707,-0.37487,-1.89853,2.25381,-0.48557,1.60336,0.46687
"UACC-257",-0.53425,0.69199,0.80018,0.10139,-0.58996,0.12739,0.20269,1.6492,-0.68354,3.49249,-2.40706
"UACC-62",1.99279,0.53311,0.44043,-1.27349,-0.30509,-0.81612,-0.60722,2.47615,0.52972,1.98333,-0.6756
"UACC-812",-0.52498,0.03331,-3.05908,0.40085,-0.53806,-1.21241,0.47271,0.4296,-0.67564,-2.71171,-0.49819
"UACC-893",-1.05095,-1.22488,-0.08945,0.02345,-0.4567,-1.97899,2.65382,-2.07515,-0.84332,-0.63369,-1.90046
"UM-UC-3",-0.8624,0.28562,-0.21528,0.61424,1.21805,0.28988,-0.71526,-0.88756,1.12012,0.16247,1.95948
"UMC-11",-1.55372,-3.19149,0.27595,0.9268,-1.23235,-2.72695,0.4732,-0.94467,-0.62444,-1.54468,4.07601
"UWB1.289",1.4089,0.04099,0.25538,1.95963,1.05534,2.24571,1.02492,-0.57716,1.72754,0.05475,0.04408
"VA-ES-BJ",1.55047,-0.19024,-1.01966,1.95067,0.34152,-0.97605,-0.96618,0.52346,0.86502,0.08406,-2.39479
"VAL",-1.03596,1.39778,1.59576,-6.59302,-3.5912,1.87517,-3.24614,0.3145,0.09779,-1.03695,-2.08307
"VCaP",-3.648,-0.4449,-0.73968,-0.79288,-2.01557,-3.23645,-0.02248,0.10173,-1.132,-2.8155,-0.30153
"VM-CUB-1",-0.08256,1.11744,-0.89604,0.13194,2.3443,0.21093,1.67585,-2.81962,1.31228,-0.29804,0.50024
"VMRC-LCD",0.10636,0.32311,0.88546,0.44103,-0.35844,-1.74382,0.79129,-0.52203,-1.14195,-2.69117,4.3847
"VMRC-RCZ",2.88161,2.41035,-2.9242,2.83755,0.74573,-0.75455,0.12705,-0.89761,0.42708,1.0906,1.46687
"WIL2-NS",-0.57668,-0.74518,1.58269,-3.73444,-1.5576,3.61192,-2.75453,0.09267,2.5196,0.13282,-0.07379
"WM-115",3.37933,1.67952,-0.71352,-0.49245,0.2992,1.10415,-3.2649,4.01078,2.13308,2.18249,-3.38156
"WM1552C",2.87798,1.34258,-0.04403,0.35837,2.50335,0.4619,-1.24739,2.19128,1.64831,1.01716,-1.26851
"WM278",1.54671,0.31047,-0.33995,0.32957,0.02033,0.23804,-0.42342,1.76191,2.37193,6.24922,-3.48655
"WM35",0.01998,1.50456,-0.56785,0.16933,-0.54457,0.33183,-0.91452,-0.64154,-0.23591,2.64559,0.33376
"WM793B",2.22051,1.35875,-2.0188,-0.85628,0.67604,1.36906,-1.16131,-0.23329,2.79452,3.62303,-2.98415
"WSU-DLCL2",-1.14797,0.26622,1.60047,-2.26772,-3.40118,0.12784,-1.02062,0.38557,-0.0866,-0.25446,-0.92429
"WSU-NHL",-1.93118,-0.33093,1.93159,-1.71053,-1.59054,1.78999,-0.20141,-0.22702,0.62071,-0.20607,3.07334
"YAPC",-0.04335,1.15833,-0.26794,1.12241,0.50582,-0.08453,1.43582,0.16462,-0.12512,-1.00631,-1.54203
"YH-13",3.15229,0.72621,-1.91922,1.18706,1.11022,-1.07972,-0.88221,4.64567,0.78776,0.94251,-0.75215
"YKG-1",2.82369,0.58662,-0.89423,0.1517,0.81932,-0.77747,-0.70696,1.65576,0.07424,2.76155,1.43034
"YT",-1.95803,-0.75395,2.39633,-2.42539,0.05469,2.88691,-2.45137,0.25891,-0.40719,-1.74639,-1.26666
"ZR-75-30",-2.9365,-0.74077,-1.54703,0.85946,0.28336,-2.90615,0.59866,-2.36254,-1.09946,-1.60498,0.8741
